,total_energy_Wh,average_power_W,maxPower,t0_900,t1_900
475,22231,3774.719366,11000,34,58
476,29347,11369.9096,11000,36,47
477,6936,3772.412751,11000,49,58
480,6675,639.9808245,11000,30,73
486,7097,1911.935943,11000,47,63
489,39890,6914.343493,11000,39,63
490,8425,11317.16418,11000,37,41
514,29630,4104.036012,11000,38,68
515,34104,8821.901272,11000,42,58
516,12088,2704.5867,11000,45,64
523,15310,7085.229464,11000,51,61
524,14382,6931.084337,11000,60,69
525,10666,1436.767072,11000,34,65
526,27697,4276.97851,11000,38,65
527,10990,1749.69043,11000,39,65
528,26540,3965.633171,11000,34,62
529,10390,3005.544395,11000,38,53
530,23631,4300.237578,11000,27,50
531,17143,2077.37983,11000,30,64
532,6040,758.264751,11000,33,66
533,8079,914.201295,11000,33,70
534,4909,1470.739015,11000,33,48
535,10972,1678.388714,11000,34,61
536,22109,8250.482015,11000,34,46
538,61780,6442.873696,11000,35,74
539,19310,2314.730954,11000,38,73
540,9284,2459.156795,11000,62,78
542,9475,1569.647048,11000,38,64
543,10036,3100.720906,11000,56,70
544,4590,3633.245383,11000,29,35
545,7825,1839.973873,11000,32,50
546,18149,1785.684222,11000,33,75
547,4687,677.4753072,11000,37,65
548,34474,9010.84731,11000,54,70
549,20939,1912.188935,11000,27,72
550,22752,3223.296997,11000,35,64
551,38246,6478.712592,11000,35,60
552,11442,2410.251609,11000,37,57
553,51391,8928.507311,11000,38,62
554,8289,3627.571116,11000,47,57
555,17790,4993.684211,11000,50,66
556,5820,3618.65285,11000,60,67
557,38671,10906.03995,11000,33,48
559,15170,7150.039277,11000,35,44
560,21150,10952.24396,11000,35,44
561,39665,7047.379331,11000,36,59
562,2900,1667.731629,11000,37,45
567,6001,768.5105475,11000,32,65
569,6170,855.3275059,11000,33,63
571,18239,3165.271886,11000,35,59
574,35353,5151.621129,11000,36,65
575,6570,1217.606178,11000,37,59
597,6460,1266.873672,11000,26,47
598,5820,612.3987958,11000,32,71
599,18821,2150.084092,11000,34,70
600,73500,13911.67192,11000,39,61
601,33106,5525.596922,11000,39,64
602,7498,2343.125,11000,40,54
603,3726,988.8389237,11000,55,71
604,3178,895.0011734,11000,56,72
605,30380,4575.875486,11000,40,68
606,10254,3110.676666,11000,40,54
607,7419,3631.819418,11000,46,55
609,14035,1949.531196,11000,30,60
615,12500,3836.644215,11000,32,46
624,6550,2337.662338,11000,32,45
629,25960,6930.367075,11000,33,49
646,6290,2180.452576,11000,35,48
660,9459,1089.920942,11000,37,72
666,10817,1244.28681,11000,38,73
667,2567,3652.648221,11000,39,43
698,3870,3735.120643,11000,47,53
699,11743,2488.802543,11000,49,68
716,13689,11109.19748,11000,55,61
746,22620,7069.36366,11000,34,48
752,6605,1159.393437,11000,35,59
755,43590,6966.349996,11000,36,62
758,22116,7792.659293,11000,37,50
759,10311,3712.331233,11000,42,54
760,5390,814.9174751,11000,45,72
764,6390,778.1085104,11000,26,60
765,15281,2253.557822,11000,34,62
769,25567,3221.941401,11000,42,75
770,16374,2993.570667,11000,34,57
771,19029,2217.186135,11000,34,70
772,5790,979.6954315,11000,34,59
773,2890,2827.942376,11000,36,41
774,10814,1501.365214,11000,36,66
775,7080,909.0844242,11000,36,69
776,37272,4914.808981,11000,37,69
777,4020,1781.169231,11000,40,50
778,11473,1983.804035,11000,42,66
791,63062,14095.56687,11000,50,69
792,18581,3266.350896,11000,50,74
803,19908,2777.645144,11000,36,66
804,18447,8965.735115,11000,36,45
806,29241,10960.808,11000,38,50
828,32923,4055.250282,11000,35,68
830,33453,5437.792929,11000,38,64
831,1830,10889.2562,11000,41,43
838,2444,3747.189097,11000,51,54
853,6420,1336.881074,11000,26,46
856,23867,10573.61556,11000,38,48
857,31275,11050.15212,11000,57,70
862,6470,802.591227,11000,26,59
863,5992,3158.764094,11000,32,41
864,13862,2080.947417,11000,33,61
