,total_energy_Wh,average_power_W,maxPower,t0_900,t1_900
1047,5030,527.0695075,11000,31,71
1048,11810,1931.140988,11000,31,57
1049,8730,1217.620394,11000,31,61
1050,11870,1321.090707,11000,31,68
1051,64420,7344.7981,11000,31,67
1052,48240,5220.622276,11000,31,69
1053,24810,2917.107584,11000,31,66
1054,9590,1541.387624,11000,31,57
1055,26589,3143.011,11000,31,66
1056,9541,1145.913125,11000,31,65
1057,32190,3402.049144,11000,30,69
1058,7350,758.2096395,11000,30,70
1059,7240,825.3586244,11000,30,66
1060,14611,1415.451683,11000,30,72
1061,7130,825.4968804,11000,30,65
1062,14411,1798.502392,11000,29,62
1063,49850,4889.918256,11000,29,71
1064,23070,3591.282539,11000,29,56
1065,15720,2014.165213,11000,29,61
1066,6460,647.5288877,11000,28,69
1067,10580,1733.71569,11000,28,53
1068,29470,3037.883343,11000,27,67
1069,13690,1598.93586,11000,27,62
1070,38590,3419.92024,11000,26,72
1071,37991,4184.286851,11000,26,63
1072,59420,6039.12933,11000,26,66
1073,48060,4865.877324,11000,25,65
1074,30840,11513.42943,11000,62,73
1075,27720,7454.952936,11000,44,60
1076,22310,4118.769231,11000,43,65
1077,15390,3259.250544,11000,42,62
1078,16290,3016.356342,11000,39,61
1079,7580,1950.536097,11000,38,54
1080,27519,6120.62276,11000,38,57
1081,10019,1477.123434,11000,37,65
1082,15150,5719.379195,11000,37,48
1083,5760,760.0058642,11000,37,68
1084,17451,2242.738826,11000,36,69
1085,24259,5392.553257,11000,36,55
1086,10260,3163.141218,11000,36,50
1087,9099,1045.227991,11000,35,71
1088,35129,9690.758621,11000,35,50
1089,6350,892.8292454,11000,34,63
1090,30170,6660.452566,11000,33,52
1091,32510,3516.389749,11000,33,71
1092,13110,3639.139486,11000,33,48
1093,22719,5275.309598,11000,32,51
1094,28300,8650.025471,11000,32,46
1095,28910,2982.975064,11000,32,72
1096,11980,1310.562781,11000,31,68
1097,15780,1624.153015,11000,31,70
1098,14870,3109.252483,11000,31,51
1099,9731,1216.924306,11000,30,63
,7550,4540.594721,11000,59,66
,17050,9312.699135,11000,52,61
,16710,4393.193603,11000,51,67
,42369,7191.682776,11000,49,74
,38420,6662.427746,11000,48,72
,31640,4850.281042,11000,46,73
,30510,5544.19262,11000,45,68
,10220,3712.238926,11000,44,56
,47220,6384.196492,11000,44,75
,11140,1822.080872,11000,41,67
,19771,11060.6993,11000,41,49
,17200,4313.479624,11000,41,58
,6099,751.8542615,11000,38,72
,4410,1028.105168,11000,38,56
,10190,1460.582895,11000,38,67
,18750,2713.022508,11000,37,66
,42340,4354.349379,11000,37,77
,20690,4345.117256,11000,37,57
,4710,1310.254231,11000,37,52
,27751,3605.586834,11000,37,68
,12179,1556.753302,11000,37,69
,50079,6293.3082,11000,36,69
,7920,976.8063312,11000,36,70
,7640,992.458413,11000,36,68
,10380,1120.345386,11000,36,74
,19719,2719.341122,11000,36,66
,24169,3245.250084,11000,36,67
,13660,2735.64753,11000,36,57
,6560,1051.469279,11000,36,62
,26630,4279.057311,11000,36,62
,26620,2930.104568,11000,36,73
,24530,4696.984203,11000,36,57
,19400,2730.044563,11000,35,65
,8499,1347.265522,11000,35,61
,28871,3997.676834,11000,35,65
